category_id,count,parent_id,name
14096,137,14100,Kleding
14098,2,14096,Badmode
14100,136,0,Dames
14101,17,14096,Broeken
14104,5,14096,Jassen en Mantels
14105,32,14096,Jurken
14106,5,14096,Lingerie en nachtmode
14107,41,14096,Shirts en Tops
14108,15,14096,Truien en Vesten
14114,3,14100,Accessoires
14212,9,14096,Jeans
14213,8,14212,Straight
14214,2,14212,Skinny
14215,9,14212,Slim
14216,38,14107,Tops
14217,6,14108,Sweaters
14219,2,14114,Riemen
14220,15,14107,Longsleeves
14221,28,14107,T-shirts
14223,9,16935,Blouses
14224,31,14105,Casual jurken
14226,1,14096,Joggingbroeken
14228,1,14105,Maxi jurken
14230,1,14101,Leggings
14231,5,16891,Mini Rokken
14232,8,14105,Mouwloze jurken
14234,3,14101,Shorts
14236,10,14105,Jurken lange mouw
14237,3,14101,Jumpsuits en Playsuits
14239,8,14101,Pantalons
14240,14,14105,Jurken korte mouw
14559,1,14100,Sport
16861,5,14212,Bootcut
16877,8,14212,Relaxed
16891,12,14096,Rokken
16909,3,14105,Cocktail jurken
16915,2,14105,Blousejurken
16919,31,14105,Overige jurken
16935,13,14096,Blouses
16942,3,14096,Overhemden
16948,10,16935,Overige blouses
16968,12,14101,Overige broeken
16976,8,16891,Kokerrok
17002,1,14104,Spijkerjassen
17012,3,14104,Winterjassen
17016,2,14104,Overige Jassen en Mantels
17071,2,14096,Badpakken
17091,1,14098,Overige Badmode
17106,1,14559,Broeken
17131,3,14106,BH's
17137,2,14106,Slipjes
17241,1,14114,Mutsen en Hoeden
17290,12,16891,Overige Rokken
21408,9,14108,Cardigans
21410,8,16891,Korte Rok
21459,4,14104,Bomberjassen
21464,4,16891,Lange Rok
21585,3,17131,Voorgevormde BH's
21601,1,17137,Slips
21609,1,14106,Hipsters
21251,14,0,Heren
21253,14,21251,T-shirts
21249,0,21251,Shoes
21252,14,14449,Shirts
14126,154,0,Kids
14665,69,14126,Boys
14666,93,14126,Girls
21250,15,14665,Jassen
21258,15,14665,T-shirts
21260,20,14665,Broeken
21268,3,14665,Sportkleding
21274,5,14665,Zwemkleding
21276,28,14665,Overige
21284,1,14666,Spijkerbroeken
21290,9,14666,Shirts
21292,15,14666,T-shirts
21298,27,14666,Broeken
21306,2,14666,Sportkleding
21308,2,14666,Zwemkleding
21316,27,14666,Overige
21320,1,14666,Baby rompers
21326,1,14666,Rompers
21336,14,14666,Jassen
21338,14,14666,Rokken
21340,14,14666,Jurken
